ID,ITEM,WHOUSE,BALANCE
1,1,1,62
2,2,1,43
3,3,1,6
4,4,1,48
5,5,1,3
6,6,1,85
7,8,1,81
8,9,1,83
9,10,1,99
10,11,1,99
11,15,1,35
12,16,1,49
13,17,1,34
14,18,1,84
15,1,2,43
16,4,2,25
17,5,2,18
18,6,2,7
19,7,2,12
20,8,2,28
21,9,2,21
22,10,2,72
23,11,2,74
24,12,2,89
25,13,2,31
26,15,2,68
27,2,3,37
28,3,3,22
29,4,3,16
30,6,3,16
31,7,3,88
32,8,3,60
33,9,3,47
34,10,3,76
35,14,3,68
36,15,3,8
37,16,3,44
38,3,4,34
39,4,4,74
40,6,4,73
41,7,4,47
42,8,4,75
43,14,4,14
44,15,4,43
45,17,4,29
46,18,4,64
