time,sales
2009-1,580
2009-2,590
2009-3,596
2009-4,638
2009-5,578
2009-6,591
2009-7,598
2009-8,635
2009-9,581
2009-10,592
2009-11,595
2009-12,635
2010-1,580
2010-2,592
2010-3,597
2010-4,635
2010-5,580
2010-6,593
2010-7,597
2010-8,637
2010-9,580
2010-10,591
2010-11,598
2010-12,639
2011-1,581
2011-2,594
2011-3,598
2011-4,636
2011-5,581
2011-6,591
2011-7,598
2011-8,639
2011-9,580
2011-10,592
2011-11,598
2011-12,640
2012-1,582
2012-2,593
2012-3,599
2012-4,638
2012-5,582
2012-6,594
2012-7,599
2012-8,638
2012-9,583
2012-10,593
2012-11,600
2012-12,641
2013-1,582
2013-2,594
2013-3,599
2013-4,641
2013-5,583
2013-6,593
2013-7,600
2013-8,639
2013-9,582
2013-10,594
2013-11,604
2013-12,641
2014-1,584
2014-2,595
2014-3,601
2014-4,644
2014-5,584
2014-6,596
2014-7,602
2014-8,643
2014-9,583
2014-10,595
2014-11,604
2014-12,644
2015-1,583
2015-2,595
2015-3,603
2015-4,643
2015-5,584
2015-6,596
2015-7,602
2015-8,646
2015-9,585
2015-10,597
2015-11,604
2015-12,644
2016-1,587
2016-2,597
2016-3,603
2016-4,646
2016-5,585
2016-6,596
2016-7,603
2016-8,648
2016-9,586
2016-10,597
2016-11,604
2016-12,645
