time,sales
2009-1,80
2009-2,90
2009-3,96
2009-4,138
2009-5,78
2009-6,91
2009-7,98
2009-8,135
2009-9,81
2009-10,92
2009-11,95
2009-12,135
2010-1,80
2010-2,92
2010-3,97
2010-4,135
2010-5,80
2010-6,93
2010-7,97
2010-8,137
2010-9,80
2010-10,91
2010-11,98
2010-12,139
2011-1,81
2011-2,94
2011-3,98
2011-4,136
2011-5,81
2011-6,91
2011-7,98
2011-8,139
2011-9,80
2011-10,92
2011-11,98
2011-12,140
2012-1,82
2012-2,93
2012-3,99
2012-4,138
2012-5,82
2012-6,94
2012-7,99
2012-8,138
2012-9,83
2012-10,93
2012-11,100
2012-12,141
2013-1,82
2013-2,94
2013-3,99
2013-4,141
2013-5,83
2013-6,93
2013-7,100
2013-8,139
2013-9,82
2013-10,94
2013-11,104
2013-12,141
2014-1,84
2014-2,95
2014-3,101
2014-4,144
2014-5,84
2014-6,96
2014-7,102
2014-8,143
2014-9,83
2014-10,95
2014-11,104
2014-12,144
2015-1,83
2015-2,95
2015-3,103
2015-4,143
2015-5,84
2015-6,96
2015-7,102
2015-8,146
2015-9,85
2015-10,97
2015-11,104
2015-12,144
2016-1,87
2016-2,97
2016-3,103
2016-4,146
2016-5,85
2016-6,96
2016-7,103
2016-8,148
2016-9,86
2016-10,97
2016-11,104
2016-12,145
